Term [en-US],Term [ar-001],Term [zh-CN],Term [zh-TW],Term [nl-NL],Term [fr-FR],Term [de-DE],Term [el-GR],Term [ha-NG],Term [hi-IN],Term [hu-HU],Term [id-ID],Term [it-IT],Term [ja-JP],Term [ko-KR],Term [fa-AF],Term [ms-MY],Term [pcm-NG],Term [pl-PL],Term [pt-BR],Term [ro-RO],Term [ru-RU],Term [es-419],Term [tl-PH],Term [th-TH],Term [tr-TR],Term [uk-UA],Term [vi-VN],Term [en-GB]
0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API
1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch
2FA,المصادقة الثنائية (2FA),双因素验证（2FA）,雙重要素驗證 (2FA),verificatie in twee stappen,Authentification double,2FA,Επαλήθευση δύο παραγόντων,Tabbatarwa ta Biyu,टू-फैक्टर ऑथेंटिकेशन,Kétlépcsős hitelesítés,2FA,Autenticazione a due fattori,2FA,2단계 인증,2FA,2FA,Double verification for security,2FA,2FA,2FA,двухфакторная аутентификация,autenticación de dos factores,2FA,การพิสูจน์ตัวจริงสองปัจจัย,İki Faktörlü Kimlik Doğrulaması,Двофакторна аутентифікація,2FA,2FA
3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs
51% attack,هجوم 51٪,51%攻击,51%攻擊,51%-aanval,attaque des 51 %,51 % attacke,επίθεση του 51%,tsarin 51%,51% अटैक,51%-os támadás,51% attack,attacco del 51%,51%攻撃,51% 공격,حمله ۵۱٪,serangan 51%,Chop oga network wey pass 50%,atak 51%,ataque de 51%,atac 51%,атака 51%,ataque de 51 %,51% pag-atake,การโจมตี 51%,%51 saldırısı,aтака 51%,tấn công 51%,51% attack
Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,AAVE,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave
account,حساب,账户,帳戶,account,compte,konto,λογαριασμός,asusu,अकाउंट,fiók,akun,account,アカウント,계정,حساب,akaun,akaunt,konto,conta,cont,счет,cuenta,account,บัญชี,hesap,oбліковий запис,tài khoản,account
ACH transfer,تحويل ACH,ACH 转账,ACH 轉帳,ACH-transactie,transfert ACH,ACH-Überweisung,Μεταφορά αυτοματοποιημένου γραφείου συμψηφισμού,Canja ta ACH,ACH ट्रांसफ़र,ACH-átutalás,Transfer ACH,Pagamento ACH,ACH送金,ACH 송금,حواله بین بانکی پایا,Pemindahan ACH,Bank to bank transfer,Przelew ACH,Transferência ACH,Plată ACH,ACH-перевод,transferencia ACH,ACH transfer,การโอน ACH,ACH transferi,ACH-трансфер,Chuyển tiền ACH,BACS transfer
address,العنوان,链上地址,地址,adres,adresse,Adresse,διεύθυνση,adireshin jama'a,एड्रेस,cím,alamat,indirizzo,アドレス,주소,آدرس,alamat,public key wey dem dey use see your moni,adres,endereço,adresă,адрес,dirección,address,ที่อยู่,adres,адреса,địa chỉ,address
aggregator,مُجمِعّ,聚合器,聚合器,aggregator,agrégateur,Aggregator,συσσωρευτής,Mai tara,एग्रीगेटर,aggregátor,agregator,aggregatore,アグリゲーター,애그리게이터,تجمیع‌کننده نقدینگی,pengagregat,oga wey gather everything,Agregator,agregador,agregator,агрегатор,agregador,aggregator,ผู้รวบรวม,toplayıcı,агрегатор,nền tảng tổng hợp thanh khoản,aggregator
Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric
air-gapping,عزل الأجهزة,气隙隔离,氣隙隔離,air-gapping,air-gap,Air-Gapping,διάκενο αέρα,Ajiye kashe gaba ɗaya,एयर-गैपिंग,air-gapping (teljes leválasztás az internetről),air-gap,air-gap,エアギャップ,에어갭,جداسازی فیزیکی,air-gapping,isolate di wallet for safety,Odizolowanie od sieci,lacuna de ar,air-gapping,физическая изоляция,separación física entre sistemas (air gap),air-gapping,การสร้างแอร์แกป,hava boşluğu,повітряний зазор,khe hở không khí,air-gapping
airdrop,توزيع مجاني,空投,空投,airdrop,airdrop,Airdrop,τακτική airdrop,Saukar iska da nufin kasuwanci,एयरड्रॉप,airdrop,airdrop,airdrop,エアドロップする,에어드롭,ایردراپ,airdrop,free crypto dash,Airdrop,airdrop,a face/efectua etc. un airdrop,аирдропнуть,airdrop,airdrop,แอร์ดรอป,airdrop,ейрдроп,tặng,airdrop
AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault
AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap
algorithm,خوارزمية,算法,算法,algoritme,algorithme,Algorithmus,αλγόρυθμος,hanyar shawo kan matsala,एल्गोरिथम,algoritmus,algoritma,algoritmo,アルゴリズム,알고리즘,الگوریتم,algoritma,formula wey dey run di show,Algorytm,algoritmo,algoritm,алгоритм,algoritmo,algoritmo,อัลกอริทึม,algoritma,алгоритм,thuật toán,algorithm
altcoin,عملة بديلة,山寨币,山寨幣,altcoin,altcoin,Altcoin,altcoin,Sikka daban ban da Bitcoin,ऑल्टकॉइन,altcoin,altcoin,altcoin,アルトコイン,알트코인,آلتکوین,altcoin,oga coin wey no be Bitcoin,Altcoin,altcoin,altcoin,альткоин,altcoin,altcoin,อัลต์คอยน์,altcoin,альткойн,tiền thay thế,altcoin
AML,مكافحة غسيل الأموال,反洗钱,反洗錢,witwasbestrijding,AML,AML,Καταπολέμηση της νομιμοποίησης εσόδων από παράνομες δραστηριότητες,Yaki da Wanke Kuɗade,AML,AML,AML,AML,AML,AML,AML,AML,Block Mago-Mago Money,AML,PLD,AML,БОД,AML,AML,การต่อต้านการฟอกเงิน,Kara Para Aklamanın Önlenmesi,Боротьба з відмиванням грошей,AML,AML
API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API
appchain,بلوكتشين التطبيق,应用链,應用程式鏈,appchain,appchain,appchain,appchain,appchain,appchain,appchain,appchain,appchain,アプリ専用チェーン,AppChain,appchain,appchain,appchain,appchain,appchain,appchain,appchain,appchain,appchain,appchain,appchain,appchain,appchain,appchain
Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay
Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum
ASIC,الدائرة المتكاملة الخاصة بالتطبيق (ASIC),ASIC（专用集成电路）,特定應用積體電路,ASIC,Circuit intégré spécifique à une application,Anwendungsspezifische integrierte Schaltung,ASIC,Kayan sarrafa da aka tsara musamman,ASIC,Alkalmazásspecifikus integrált áramkör,ASIC,ASIC,ASIC,ASIC,ای‌سیک,ASIC,Special chip wey dey mine coin fast fast,ASIC,ASIC,ASIC,специальная интегральная схема,Circuito integrado de aplicación específica,ASIC,วงจรรวมเฉพาะแอปพลิเคชัน,Uygulamaya Özel Tümleşik Devre,спеціалізована інтегральна схема,ASIC,ASIC
asset provenance,منشأ الأصل,资产来源,資產溯源,herkomst van asset,provenance de l’actif,Herkunft des Assets,προέλευση περιουσιακών στοιχείων,Asalin Mallaka,एसेट प्रोवेनेंस,eszköz eredete,asal usul aset,provenienza dei fondi,資産の来歴追跡,자산 출처,منشأ دارایی,asal aset,history of di asset,Pochodzenie aktywów,origem do ativo,proveniența activelor,происхождение активов,procedencia de los activos,pinagmulan ng asset,ที่มาของสินทรัพย์,varlık kökeni,походження активів,nguồn gốc tài sản,asset provenance
attestation,المصادقة,见证,證明,attestatie,attestation,Bestätigung,επιβεβαίωση,Tabbatarwa,अटेस्टेशन,tanúsítvány,pengesahan,attestazione,証明,증명,گواهی,pengesahan,proof sey something dey legit,Poświadczenie,atestado,atestare,аттестация,atestación,pagpapatunay,การลงนามรับรอง,tasdik,атестація,chứng thực,attestation
Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora
