"locale","key","term","partOfSpeech","termCategory","phonetic","definition","definitionSource","sampleSentence","extended","termSource","dateFirstRecorded","commentary"
"ar-001","0x-api","0x API","","","","","","","","","",""
"ar-001","0xplain","0xplain","","","","","","","","","",""
"ar-001","1inch","1inch","","","","","","","","","",""
"ar-001","2fa","المصادقة الثنائية (2FA)","","","","","","","","","",""
"ar-001","3box-labs","3Box Labs","","","","","","","","","",""
"ar-001","51%-attack","هجوم 51٪","","","","","","","","","",""
"ar-001","aave","Aave","","","","","","","","","",""
"ar-001","absolute-advantage","Absolute Advantage","","","","An economics concept in which one party has a direct advantage in efficiency in producing/providing a specific good or service over another party.","https://academy.binance.com/ar/glossary/absolute-advantage","","","https://academy.binance.com/ar/glossary/absolute-advantage","2025-02-01",""
"ar-001","account","حساب","","","","","","","","","",""
"ar-001","ach-transfer","تحويل ACH","","","","","","","","","",""
"ar-001","active-management","Active Management","","","","An investing strategy employed by fund managers aiming to outperform an index or market in order to generate profits.","https://academy.binance.com/ar/glossary/active-management","","","https://academy.binance.com/ar/glossary/active-management","2025-02-01",""
"ar-001","actively-validated-services-avs","الخدمات التي تخضع للتدقيق النشط (AVS)","","","","تقوم الخدمات التي تخضع للتدقيق النشط (AVS) بالمراقبة المستمرة والتدقيق لتعزيز الأمان والأداء والامتثال في سلاسل البلوكشين والعملات الرقمية.","https://academy.binance.com/ar/glossary/actively-validated-services-avs","","","https://academy.binance.com/ar/glossary/actively-validated-services-avs","2025-02-01",""
"ar-001","ad-hoc","Ad Hoc","","","","The phrase 'ad hoc' is a phrase of Latin origin that is used in modern English to mean 'for this purpose' or 'specifically for this.'","https://academy.binance.com/ar/glossary/ad-hoc","","","https://academy.binance.com/ar/glossary/ad-hoc","2025-02-01",""
"ar-001","address","العنوان","","","","String of text that designates the location of a particular wallet on the blockchain. Often a hashed version of a public key.","https://academy.binance.com/ar/glossary/address","","","https://academy.binance.com/ar/glossary/address","2025-02-01",""
"ar-001","aggregator","مُجمِعّ","","","","","","","","","",""
"ar-001","agoric","Agoric","","","","","","","","","",""
"ar-001","air-gapping","عزل الأجهزة","","","","","","","","","",""
"ar-001","airdrop","توزيع مجاني","","","","Distribution of digital assets to the public, by virtue of holding a certain token or by virtue of being an active wallet address.","https://academy.binance.com/ar/glossary/airdrop","","","https://academy.binance.com/ar/glossary/airdrop","2025-02-01",""
"ar-001","airgap-vault","AirGap Vault","","","","","","","","","",""
"ar-001","airswap","AirSwap","","","","","","","","","",""
"ar-001","algorithm","خوارزمية","","","","الخوارزمية | التعريف: سلسلة من التعليمات الواضحة التي تُستخدم بهدف حل مشكلة ما.","https://academy.binance.com/ar/glossary/algorithm","","","https://academy.binance.com/ar/glossary/algorithm","2025-02-01",""
"ar-001","all-or-none-order","All or None Order (AON)","","","","An AON order, once placed, must either be filled in its entirety or not at all. This prevents any partial filling of orders.","https://academy.binance.com/ar/glossary/all-or-none-order","","","https://academy.binance.com/ar/glossary/all-or-none-order","2025-02-01",""
"ar-001","all-time-high","All-Time High (ATH)","","","","The highest price of a cryptocurrency in a quote​ currency, such as a dollar, BTC, ETH, or BNB","https://academy.binance.com/ar/glossary/all-time-high","","","https://academy.binance.com/ar/glossary/all-time-high","2025-02-01",""
"ar-001","allocation","Allocation","","","","Percentage distribution of tokens. For example a project may allocate 40% of tokens to their team.","https://academy.binance.com/ar/glossary/allocation","","","https://academy.binance.com/ar/glossary/allocation","2025-02-01",""
"ar-001","alpha","Alpha","","","","The first look at a product released by a team, consisting of the very first version of a primitive, basic software or product.","https://academy.binance.com/ar/glossary/alpha","","","https://academy.binance.com/ar/glossary/alpha","2025-02-01",""
"ar-001","altcoin","عملة بديلة","","","","A cryptocurrency that is alternative to Bitcoin. Altcoin is used to describe cryptocurrencies that are not Bitcoin.","https://academy.binance.com/ar/glossary/altcoin","","","https://academy.binance.com/ar/glossary/altcoin","2025-02-01",""
"ar-001","aml","مكافحة غسيل الأموال","","","","","","","","","",""
"ar-001","angel-investor","Angel Investor","","","","Wealthy investors that seek out opportunities to provide funding for entrepreneurs or start-up companies.","https://academy.binance.com/ar/glossary/angel-investor","","","https://academy.binance.com/ar/glossary/angel-investor","2025-02-01",""
"ar-001","anti-money-laundering","مكافحة غسيل الأموال","","","","مكافحة غسيل الأموال | التعريف: الإجراءات القانونية والتنظيمية للحد من تدفق الأموال الناشئة عن أنشطة غير قانونية أو مشبوهة.","https://academy.binance.com/ar/glossary/anti-money-laundering","","","https://academy.binance.com/ar/glossary/anti-money-laundering","2025-02-01",""
"ar-001","api","API","","","","","","","","","",""
"ar-001","appchain","بلوكتشين التطبيق","","","","","","","","","",""
"ar-001","apple-pay","Apple Pay","","","","","","","","","",""
"ar-001","application-programming-interface","Application Programming Interface (API)","","","","Collection of functions and procedures that allow users to interact with the data of an application.","https://academy.binance.com/ar/glossary/application-programming-interface","","","https://academy.binance.com/ar/glossary/application-programming-interface","2025-02-01",""
"ar-001","application-specific-integrated-circuit","Application-Specific Integrated Circuit (ASIC)","","","","An Integrated Circuit customized for maximum performance in a particular use.","https://academy.binance.com/ar/glossary/application-specific-integrated-circuit","","","https://academy.binance.com/ar/glossary/application-specific-integrated-circuit","2025-02-01",""
"ar-001","arbitrage","المراجحة","","","","المراجحة | التعريف: شراء وبيع الأصول في أسواق مختلفة للاستفادة من اختلاف أسعار نفس الأصل.","https://academy.binance.com/ar/glossary/arbitrage","","","https://academy.binance.com/ar/glossary/arbitrage","2025-02-01",""
"ar-001","arbitrum","Arbitrum","","","","","","","","","",""
