Term [en-US],Term [ar],Term [zh-CN],Term [zh-TW],Term [nl-NL],Term [fr],Term [de-DE],Term [el-GR],Term [ha-NG],Term [hi-IN],Term [hu-HU],Term [id-ID],Term [it-IT],Term [ja-JP],Term [ko-KR],Term [fa-AF],Term [ms-MY],Term [pcm],Term [pl-PL],Term [pt-BR],Term [ro-RO],Term [ru-RU],Term [es-419],Term [tl],Term [th-TH],Term [tr-TR],Term [uk-UA],Term [vi-VN],Term [en-GB]
0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,
0xplain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,1inch,
2FA,المصادقة الثنائية (2FA),双因素认证（2FA）,雙重要素驗證 (2FA),verificatie in twee stappen (2FA),Authentification double (2FA),Zwei-Faktor-Authentifizierung (2FA),Επαλήθευση δύο παραγόντων (2FA),Tabbatarwa ta Biyu,टू-फैक्टर ऑथेंटिकेशन (2FA),kétlépcsős hitelesítés (2FA),Autentikasi Dua Faktor (2FA),Autenticazione a due fattori (2FA),二要素認証 (2FA),"이중 인증(two-factor authentication, 2FA)",تایید هویت دو عاملی (2FA),Pengesahan Dua Faktor (2FA),Double verification for security,Uwierzytelnianie dwuskładnikowe (2FA),Autenticação de dois fatores (2FA),Autentificare în doi factori (2FA),Двухфакторная аутентификация (2ФА),autenticación de dos factores (2FA),Two-Factor Authentication (2FA),การพิสูจน์ตัวจริงสองปัจจัย (2FA),İki Faktörlü Kimlik Doğrulaması (2FA),Двофакторна аутентифікація (2FA),Xác thực hai yếu tố (2FA),
3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,
51% attack,هجوم 51٪,51%攻击,51%攻擊,51%-aanval,Attaque des 51 %,51% Attacke,Επίθεση του 51%,Tsarin 51%,51% अटैक,51%-os támadás,51% Attack,Attacco del 51%,51%攻撃,51% 공격,حمله 51 درصدی,Serangan 51%,Chop oga network,Atak 51%,Ataque de 51%,Atac 51%,Атака 51%,ataque de 51 %,51% Pag-atake,การโจมตี 51%,%51 Saldırısı,Атака 51%,Tấn công 51%,
Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,AAVE,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,
About,من نحن,关于,關於,Over,À propos,Über,Σχετικά με,Game da,के बारे में,Rólunk,Tentang,Informazioni,基本情報,소개,درباه,Tentang,About,O nas,Sobre,Despre ,О MetaMask,Acerca de,Tungkol,เกี่ยวกับ,Hakkında,Про нас,Giới thiệu,
account,حساب,账户,帳戶,account,Compte,Konto,Λογαριασμός,Asusu,Account,fiók,Akun,Account,アカウント,계정,حساب,Akaun,Akaunt,Konto,Conta,Cont,Счет,cuenta,Account,บัญชี,Hesap,Обліковий запис,Tài khoản,
ACH transfer,تحويل ACH,ACH transfer,ACH 轉帳,ACH-transactie,Transfert ACH,ACH-Überweisung,Μεταφορά αυτοματοποιημένου γραφείου συμψηφισμού,Canja ta ACH,ACH ट्रांसफ़र,ACH-átutalás,Transfer ACH,Pagamento ACH,ACH送金,ACH 송금,حواله بین بانکی پایا,Pemindahan ACH,Bank to bank transfer,Przelew ACH,Transferência ACH,Plată ACH,ACH-перевод,transferencia ACH,ACH transfer,การโอน ACH,ACH transferi,ACH-трансфер,Chuyển tiền ACH,
address,"العنوان / ""العنوان العام"" (عنوان المحفظة)",链上地址/公钥（钱包地址）,地址/「公開地址」（錢包地址）,"adres/""openbaar adres"" (wallet-adres)",adresse/ « adresse publique » (adresse du portefeuille),Adresse/„öffentliche Adresse“ (Wallet-Adresse),"διεύθυνση/""δημόσια διεύθυνση"" (διεύθυνση πορτοφολιού)",Adireshin/Adireshin jama'a (adireshin walat),"एड्रेस/""पब्लिक एड्रेस"" (वॉलेट एड्रेस)",cím/„nyilvános cím” (pénztárca címe),"alamat/""alamat publik"" (alamat dompet)","indirizzo/""indirizzo pubblico"" (indirizzo del wallet)","アドレス/""パブリックアドレス"" (ウォレットアドレス)","주소/""공개 주소""(지갑 주소)",آدرس /«آدرس عمومی»,"alamat/""alamat awam"" (alamat dompet)",Public key wey dem dey use see your moni,Adres / „adres publiczny” (adres portfela),"endereço/""endereço público"" (endereço da carteira)",adresă/„adresă publică” (adresa portofelului),"адрес/""публичный адрес"" (адрес кошелька)","dirección/""dirección pública"" (dirección de monedero)","address/""pampublikong address"" (address ng wallet)",ที่อยู่,"adres/""genel adres"" (cüzdan adresi)",адреса/«публічна адреса» (адреса гаманця),"địa chỉ/""địa chỉ công khai"" (địa chỉ ví)",
Advanced,متقدم,高级,進階,geavanceerd,Avancé,Erweitert,Για προχωρημένους,Ci gaba,एडवांस्ड,haladó,Lanjutan,Avanzati,高度な設定,고급,پیشرفته,Lanjutan,Oga level,Ustawienia zaawansowane,Avançado,Avansat,Дополнительно,avanzados,Advanced,ขั้นสูง,Gelişmiş,Розширені,Nâng cao,
aggregator,مُجمِعّ,聚合器,聚合器,aggregator,agrégateur,Aggregator,συσσωρευτής,Mai tara,एग्रीगेटर,aggregátor,agregator,aggregatore,アグリゲーター,애그리게이터,تجمیع‌کننده نقدینگی,pengagregat,oga wey gather everything,Agregator,agregador,agregator,агрегатор,agregador,aggregator,ผู้รวบรวม,toplayıcı,агрегатор,nền tảng tổng hợp thanh khoản,
Aggressive,مغامر,激进型,積極型,agressief,Agressif,Aggressiv,Υψηλότερη αγοραστική τιμή,Duba mai tsauri,एग्रेसिव,agresszív,Agresif,Aggressivo,積極的,공격적,جسورانه,Agresif,Sharp-sharp,Agresywne podejście,Agressiva,Agresiv,Агрессивный,agresiva,Agresibo,ทุ่มสุดตัว,Agresif,Агресивний,Cao,
Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,
air-gapping,عزل الأجهزة,气隙隔离,氣隙隔離,air-gapping,air-gap,Air-Gapping,διάκενο αέρα,Ajiye kashe gaba ɗaya,एयर-गैपिंग,air-gapping (teljes leválasztás az internetről),Air-gap,air-gap,エアギャップ,에어갭,جداسازی فیزیکی,air-gapping,Isolate di wallet for safety,Odizolowanie od sieci (air-gapping),lacuna de ar,air-gapping,физическая изоляция,separación física entre sistemas (air gap),air-gapping,การสร้างแอร์แกป,hava boşluğu,«повітряний зазор»,khe hở không khí,
